                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.48473,                0.36876,                0.90471,                0.94468,                 0.9331,                0.96925,                0.87957,                 0.4138,                 0.2763,                0.81918,             0.00010274,             0.00010274,             0.00010274
                     71,                0.50551,                0.38857,                0.92143,                0.94375,                0.93394,                0.96839,                0.87996,                0.42035,                0.28102,                0.82054,             0.00010251,             0.00010251,             0.00010251
                     72,                0.51314,                0.38509,                0.92292,                0.94639,                0.93198,                0.96691,                0.87992,                 0.4184,                0.27592,                0.82192,             0.00010227,             0.00010227,             0.00010227
                     73,                0.49281,                0.37043,                0.93085,                0.95444,                0.92742,                0.96725,                0.88409,                0.40321,                0.27087,                0.82072,             0.00010204,             0.00010204,             0.00010204
                     74,                0.49712,                0.39031,                0.92703,                0.95114,                0.93619,                0.96681,                0.88663,                 0.4006,                0.26828,                0.82078,              0.0001018,              0.0001018,              0.0001018
                     75,                0.51739,                0.38734,                0.93151,                0.95275,                0.93347,                0.96958,                0.88406,                0.41135,                0.27361,                0.82262,             0.00010156,             0.00010156,             0.00010156
                     76,                 0.5257,                 0.4119,                0.94683,                0.94202,                0.93628,                0.96849,                0.88983,                0.40577,                 0.2676,                0.81789,             0.00010133,             0.00010133,             0.00010133
                     77,                0.51612,                0.38273,                0.92729,                0.93907,                0.93192,                0.96691,                0.89123,                0.40171,                0.26376,                0.81506,             0.00010109,             0.00010109,             0.00010109
                     78,                0.51889,                0.37943,                0.91901,                0.95256,                 0.9253,                0.96658,                0.89569,                0.39264,                0.26412,                 0.8118,             0.00010086,             0.00010086,             0.00010086
                     79,                0.48402,                 0.3724,                0.92118,                0.95558,                0.92759,                0.96944,                0.89288,                0.40561,                0.26575,                0.81303,             0.00010062,             0.00010062,             0.00010062
                     80,                0.50706,                0.39147,                0.91591,                0.93766,                0.94797,                0.96971,                0.89202,                0.39059,                0.26171,                0.81078,             0.00010039,             0.00010039,             0.00010039
                     81,                0.48408,                0.37668,                0.91157,                0.95601,                0.92563,                0.96978,                 0.8918,                0.38778,                0.26072,                 0.8126,             0.00010015,             0.00010015,             0.00010015
                     82,                0.50533,                0.36686,                0.92749,                0.96187,                0.92629,                0.97036,                0.89368,                0.39416,                0.26417,                0.81516,             9.9915e-05,             9.9915e-05,             9.9915e-05
                     83,                0.49391,                0.37214,                0.91281,                0.96174,                0.92608,                0.97181,                0.89118,                0.39101,                0.26596,                0.81537,             9.9679e-05,             9.9679e-05,             9.9679e-05
                     84,                0.47962,                0.36354,                0.92528,                0.95594,                0.92354,                0.97174,                0.89511,                0.38564,                0.26325,                0.81427,             9.9444e-05,             9.9444e-05,             9.9444e-05
                     85,                0.48176,                0.37827,                0.91252,                0.95255,                 0.9304,                 0.9705,                0.89652,                0.39138,                0.26389,                0.81393,             9.9208e-05,             9.9208e-05,             9.9208e-05
                     86,                0.47682,                0.36407,                0.91473,                0.96425,                0.92468,                0.96951,                0.89096,                0.39551,                0.26393,                0.81505,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     87,                0.47255,                0.35889,                0.89884,                0.95345,                 0.9391,                0.97108,                0.90097,                0.38203,                0.25899,                0.81411,             9.8737e-05,             9.8737e-05,             9.8737e-05
                     88,                0.50584,                0.38619,                0.92224,                0.94983,                0.93553,                0.97033,                0.90148,                0.37863,                 0.2658,                0.81183,             9.8501e-05,             9.8501e-05,             9.8501e-05
                     89,                0.46523,                0.33951,                 0.8939,                0.94884,                0.93334,                0.96939,                0.89757,                0.37938,                 0.2683,                0.81072,             9.8265e-05,             9.8265e-05,             9.8265e-05
                     90,                0.51698,                0.38569,                0.91155,                0.94832,                0.93742,                0.97033,                0.89761,                0.38088,                0.26554,                0.81249,              9.803e-05,              9.803e-05,              9.803e-05
                     91,                0.50125,                0.38283,                0.92117,                0.94755,                0.93691,                0.97252,                0.89743,                  0.383,                0.26803,                0.81365,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     92,                0.49888,                0.37795,                0.92884,                0.95213,                0.93652,                0.97289,                0.89711,                0.38419,                0.26578,                0.81294,             9.7559e-05,             9.7559e-05,             9.7559e-05
                     93,                0.45249,                 0.3456,                0.90084,                0.95212,                0.94234,                0.97112,                0.89456,                0.38493,                0.26699,                0.81263,             9.7323e-05,             9.7323e-05,             9.7323e-05
