                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.43858,                0.30841,                0.89677,                0.96306,                0.94279,                 0.9763,                0.91564,                0.32716,                0.21071,                0.79919,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                0.43456,                0.31209,                0.89228,                0.96177,                0.94422,                0.97643,                0.91617,                0.32585,                0.20973,                0.79847,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                0.40215,                0.30157,                0.89417,                0.95905,                0.94266,                0.97408,                0.91615,                0.32218,                0.20856,                 0.7973,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                0.41977,                0.31026,                0.89037,                 0.9594,                0.94268,                0.97435,                0.91626,                0.31945,                 0.2087,                0.79679,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                0.39832,                0.28987,                0.88467,                0.96082,                0.94044,                0.97633,                 0.9158,                0.31807,                0.20716,                0.79659,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                0.40266,                0.29068,                0.87877,                0.96058,                0.93979,                 0.9764,                0.91729,                0.31678,                0.20708,                0.79629,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                0.43514,                0.30872,                0.89908,                0.96015,                0.94013,                0.97677,                 0.9173,                0.31604,                0.20538,                0.79582,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                0.39791,                0.28656,                0.87081,                0.96135,                 0.9413,                 0.9762,                0.91914,                0.31376,                0.20448,                0.79516,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                0.43314,                0.30726,                0.88534,                0.96057,                0.94193,                0.97278,                0.91902,                0.31057,                0.20356,                0.79416,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                 0.3863,                0.25341,                0.82701,                0.95943,                0.94402,                0.97629,                0.91699,                0.30883,                0.20232,                0.79332,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                 0.3986,                0.26829,                0.85375,                0.95956,                0.94496,                0.97462,                0.91856,                0.30864,                0.20273,                0.79299,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                0.37098,                0.24909,                0.82904,                 0.9576,                0.94447,                0.97433,                0.92136,                0.30882,                0.20368,                0.79261,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                0.36544,                 0.2422,                0.82471,                0.95706,                0.94429,                0.97449,                0.92123,                0.30873,                0.20419,                 0.7923,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                0.35335,                 0.2402,                0.82805,                0.95664,                0.94427,                0.97618,                0.92151,                0.30868,                0.20569,                0.79227,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                0.36496,                0.24822,                0.82515,                0.95518,                0.94332,                0.97553,                0.92373,                0.30806,                0.20526,                0.79188,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                0.34461,                0.23239,                 0.8304,                0.95592,                0.94469,                0.97436,                 0.9228,                0.30819,                0.20429,                0.79163,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                0.33928,                0.22699,                 0.8267,                0.95607,                0.94489,                0.97601,                0.92296,                0.30718,                0.20475,                 0.7911,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                0.36188,                0.23522,                0.82342,                0.95621,                0.94509,                0.97604,                 0.9223,                0.30759,                0.20489,                 0.7907,             3.5462e-06,             3.5462e-06,             3.5462e-06
                    100,                0.33908,                0.23016,                0.82003,                0.95673,                0.94516,                0.97515,                0.92189,                0.30706,                0.20531,                0.79079,             2.3681e-06,             2.3681e-06,             2.3681e-06
